ISIN,name,fecha_act,vl,moneda,var_dia_%,2015,2016,2017,2018,2019,cat
ES0159201021,Magallanes Iberian Equity P FI,27/09/2019,139.04,EUR,0.0027,-,0.161,0.16,-0.08800000000000001,0.01,RV España
ES0114579008,Bestvalue FI,27/09/2019,182.34,EUR,0.0043,0.111,0.109,0.11800000000000001,-0.13699999999999998,0.075,RV Europa Cap. Flexible
LU0226954369,Robeco BP US Premium Equities I,27/09/2019,303.02,USD,-0.0013,0.12300000000000001,0.165,0.034,-0.086,0.191,RV USA Cap. Grande Value
LU1279333329,Pictet - Robotics I USD,30/09/2019,179.9,USD,0.0004,-,0.16,0.242,-0.057999999999999996,0.24100000000000002,RV Sector Tecnología
ES0124037005,Cobas Selección FI,27/09/2019,76.26,EUR,-0.008100000000000001,-,-,0.10300000000000001,-0.29600000000000004,-0.063,RV Global  Cap. Flexible
18764912,iShares MSCI Brazil Capped ETF | EWZ,27/09/2019,42.23,USD,-0.0013,-0.35100000000000003,0.6940000000000001,0.086,0.023,0.128,Latin America Stock
ES0119199000,Cobas Internacional FI,27/09/2019,71.87,EUR,-0.0098,-,-,-,-0.314,-0.065,RV Global  Cap. Flexible
ES0114638036,Bestinver Internacional FI,27/09/2019,43.17,EUR,0.004,0.13,0.113,0.11699999999999999,-0.141,0.094,RV Europa Cap. Flexible
ES0114673033,Bestinfond FI,27/09/2019,199.87,EUR,0.004,0.125,0.109,0.11599999999999999,-0.134,0.078,RV Europa Cap. Flexible
ES0112611001,Azvalor Internacional FI,27/09/2019,112.48,EUR,-0.005699999999999999,-,0.203,0.033,-0.105,0.040999999999999995,RV Global  Cap. Flexible
LU0925041070,Abante Global Funds European Quality Equity Class A,27/09/2019,14.24,EUR,0.006999999999999999,0.045,0.07200000000000001,0.14,-0.237,0.163,RV Zona Euro Cap. Grande
LU1330191385,Magallanes Value Investors UCITS European Equity I EUR,27/09/2019,123.26,EUR,0.0078000000000000005,-,0.11800000000000001,0.198,-0.19,0.1,RV Europa Cap. Flexible
LU1330191971,Magallanes Value Investors UCITS Iberian Equity I,27/09/2019,123.9,EUR,0.0027,-,0.17,0.154,-0.091,0.009000000000000001,RV España
LU0943624584,JPMorgan Funds - Asia Growth Fund C (acc) - USD,27/09/2019,146.21,USD,-0.0033,0.024,0.081,0.312,-0.073,0.151,RV Asia (ex-Japón)
LU0390711777,Fidelity Emerging Asia Y-Acc-USD,27/09/2019,33.68,USD,-0.0105,-0.038,-0.09699999999999999,0.325,0.0,0.17800000000000002,Asia ex-Japan Equity
LU0418791066,BlackRock Strategic Funds - European Opportunities Extension Fund D2 EUR,30/09/2019,395.13,EUR,0.005,0.374,0.04,0.18600000000000003,-0.10300000000000001,0.201,RV Europa Cap. Flexible
LU1333146287,Mimosa Capital SICAV Azvalor International I,27/09/2019,1149.14,EUR,0.0016,-,0.213,0.049,-0.113,0.02,RV Global  Cap. Flexible
ES0112616000,Azvalor Iberia FI,27/09/2019,109.52,EUR,0.0139,-,0.156,0.19,-0.168,-0.011000000000000001,RV España
IE00BDBVWR31,AXA IM World Access Vehicle ICAV - AXA IM Maturity 2022 Fund E Capitalisation EUR (Hedged),27/09/2019,104.65,EUR,0.0001,-,-,0.028999999999999998,-0.061,0.068,RF Deuda A Plazo Fijo
LU0256881128,Allianz Global Investors Fund - Allianz Europe Equity Growth IT EUR,30/09/2019,3105.32,EUR,-0.0040999999999999995,0.14300000000000002,0.129,0.196,-0.129,0.20600000000000002,Europe Large-Cap Growth Equity
LU1628005743,DIP Lift Global Value Fund B EUR Cap,27/09/2019,9.66,EUR,-0.0045000000000000005,-,-,0.051,-0.044000000000000004,0.011000000000000001,Mixtos Flexibles EUR - Global
LU0235308482,Alken Fund - European Opportunities Class R,27/09/2019,250.92,EUR,0.010700000000000001,0.040999999999999995,-0.038,0.26,-0.16399999999999998,0.122,RV Europa Cap. Flexible
LU0256839274,Allianz Global Investors Fund - Allianz Europe Equity Growth AT EUR,30/09/2019,269.91,EUR,0.0009,0.193,-0.034,0.139,-0.146,0.19,RV Europa Cap. Grande Growth
LU0256839860,Allianz Global Investors Fund - Allianz Europe Equity Growth CT EUR,30/09/2019,244.55,EUR,0.0008,0.184,-0.040999999999999995,0.131,-0.152,0.184,RV Europa Cap. Grande Growth
LU0293315296,Allianz Global Investors Fund - Allianz Europe Small Cap Equity AT EUR,30/09/2019,266.92,EUR,0.0044,0.322,-0.07,0.155,-0.16,0.174,RV Europa Cap. Pequeña
LU0568620727,Amundi Funds - Cash EUR G2 EUR (C),27/09/2019,99.44,EUR,0.0,-0.001,-0.002,-0.004,-0.006,-0.003,Mercado Monetario EUR
FR0012903276,AXA IM Europe Short Duration High Yield AC,27/09/2019,103.94,EUR,0.0001,,,-,,0.037000000000000005,RF Bonos Alto Rendimiento EUR
